iter	Passed	Remaining
0	2	235
1	4	200
2	5	182
3	6	164
4	8	159
5	9	156
6	11	154
7	13	152
8	14	151
9	16	152
10	18	149
11	19	146
12	21	142
13	22	139
14	24	136
15	25	132
16	26	130
17	27	126
18	29	123
19	30	122
20	32	120
21	33	119
22	35	117
23	36	115
24	37	113
25	39	111
26	40	109
27	41	107
28	43	106
29	44	104
30	46	102
31	47	101
32	49	99
33	50	97
34	51	96
35	53	94
36	54	92
37	55	90
38	57	89
39	58	87
40	59	86
41	60	83
42	61	81
43	63	80
44	64	78
45	65	77
46	67	75
47	68	74
48	69	72
49	70	70
50	72	69
51	73	67
52	74	66
53	76	65
54	77	63
55	79	62
56	81	61
57	82	59
58	83	58
59	85	56
60	87	55
61	88	54
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	98	44
69	99	42
70	101	41
71	102	39
72	103	38
73	105	36
74	106	35
75	108	34
76	109	32
77	111	31
78	112	29
79	113	28
80	115	27
81	116	25
82	117	24
83	119	22
84	120	21
85	121	19
86	123	18
87	124	16
88	126	15
89	128	14
90	129	12
91	131	11
92	133	10
93	134	8
94	136	7
95	137	5
96	139	4
97	140	2
98	141	1
99	143	0
